,,,,,,,,,
 ПРАЙС  на вулики та комплектуючі,,,,,,,,11.05.2026р,
,,,,,,,,,
,Комплектація,,,,,,,Найменування,Ціна з 11.05.2026
Вулик 8-рамковий,,,,,,,,8-рамковий,
Комплектація 1,ДАХ 8,1,шт,"2607,00",,,,ДАХ 8,"466,00"
,ДНО в комплекті,1,шт,,,,,ДАХ 8 армований,"600,00"
,корпус 300 з кутиками,1,шт,,,,,ДНО 8 з льотковим загороджувачем,"333,00"
,корпус 145 з кутиками,2,шт,,,,,"ДНО 8 в комплекті (сітка, засувка, льотковий загороджувач)","547,00"
Комплектація 2,ДАХ 8 армований,1,шт,"2741,00",,,,корпус 300/8 з кутиками,"794,00"
,ДНО в комплекті,1,шт,,,,,корпус 145/8 з кутиками,"400,00"
,корпус 300 з кутиками,1,шт,,,,,корпус 145/8 без кутиків,"390,00"
,корпус 145 з кутиками,2,шт,,,,,годівниця 8 у комплекті,"505,00"
Комплектація 3,ДАХ 8,1,шт,"3112,00",,,,МПЗ 8 з кутиками,"103,00"
,ДНО в комплекті,1,шт,,,,,МПЗ 8 без кутиків,"98,00"
,корпус 300 з кутиками,1,шт,,,,,МЛП без профілю,"97,00"
,корпус 145 з кутиками,2,шт,,,,,ВПЗ 8 з кутиками,"205,00"
,годівниця,1,шт,,,,,ВПЗ 8 без кутиків і профілю,"200,00"
Комплектація 4,ДАХ 8 армований,1,шт,"3246,00",,,,ВЛП 8,"192,00"
,ДНО в комплекті,1,шт,,,,,10-рамковий,
,корпус 300 з кутиками,1,шт,,,,,ДАХ 10,"505,00"
,корпус 145 з кутиками,2,шт,,,,,ДАХ 10 армований,"655,00"
,годівниця,1,шт,,,,,ДНО 10 з льотковим загороджувачем,"346,00"
Комплектація 5,ДАХ 8,1,шт,"2601,00",,,,ДНО 10 в комплекті,"574,00"
,ДНО в комплекті,1,шт,,,,,корпус 300/10 з кутиками,"870,00"
,корпус 300 з кутиками,2,шт,,,,,корпус 300/10 без кутиків,"860,00"
Комплектація 6,ДАХ 8 армований,1,шт,"2735,00",,,,корпус 145/10 з кутиками,"444,00"
,ДНО в комплекті,1,шт,,,,,корпус 145/10 без кутиків,"432,00"
,корпус 300 з кутиками,2,шт,,,,,годівниця 10 у комплекті,"550,00"
Комплектація 7,ДАХ 8,1,шт,"3106,00",,,,МПЗ 10 з кутиками,"120,00"
,ДНО в комплекті,1,шт,,,,,МПЗ 10 без кутиків,"114,00"
,корпус 300 з кутиками,2,шт,,,,,МЛП,"102,00"
,годівниця,1,шт,,,,,ВПЗ 10 з кутиками,"235,00"
Комплектація 8,ДАХ 8 армований,1,шт,"3240,00",,,,ВПЗ 10 без кутиків,"230,00"
,ДНО в комплекті,1,шт,,,,,ВЛП,"200,00"
,корпус 300 з кутиками,2,шт,,,,,12-рамковий,
,годівниця,1,шт,,,,,ДАХ 12,"578,00"
Вулик 10-рамковий,,,,,,,,ДАХ 12 армований,"733,00"
Комплектація 1,ДАХ 10,1,шт,"2837,00",,,,ДНО 12 з льотковим загороджувачем,"420,00"
,ДНО в комплекті,1,шт,,,,,ДНО 12 в комплекті,"740,00"
,корпус 300 з кутиками,1,шт,,,,,корпус 300/12 з кутиками,"948,00"
,корпус 145 з кутиками,2,шт,,,,,корпус 300/12 без кутиків,"934,00"
Комплектація 2,ДАХ 10 армований,1,шт,"2987,00",,,,корпус 145/12 з кутиками,"482,00"
,ДНО в комплекті,1,шт,,,,,корпус 145/12 без кутиків,"470,00"
,корпус 300 з кутиками,1,шт,,,,,годівниця 12 у комплекті,"644,00"
,корпус 145 з кутиками,2,шт,,,,,МПЗ 12 з кутиками,"139,00"
Комплектація 3,ДАХ 10,1,шт,"3387,00",,,,МПЗ 12 без кутиків,"133,00"
,ДНО в комплекті,1,шт,,,,,МЛП,"102,00"
,корпус 300 з кутиками,1,шт,,,,,ВПЗ 12 з кутиками,"274,00"
,корпус 145 з кутиками,2,шт,,,,,ВПЗ 12 без кутиків,"267,00"
,годівниця,1,шт,,,,,ВЛП,"200,00"
Комплектація 4,ДАХ 10 армований,1,шт,"3537,00",,,,інше,
,ДНО в комплекті,1,шт,,,,,Заставна дошка 300,"92,00"
,корпус 300 з кутиками,1,шт,,,,,Засувка 8,"38,00"
,корпус 145 з кутиками,2,шт,,,,,Засувка 10,"70,00"
,годівниця,1,шт,,,,,Засувка 12,"118,00"
Комплектація 5,ДАХ 10,1,шт,"2819,00",,,,Сітка Дно 8,"69,00"
,ДНО в комплекті,1,шт,,,,,Сітка Дно 10,"158,00"
,корпус 300 з кутиками,2,шт,,,,,Сітка Дно 12,"202,00"
Комплектація 6,ДАХ 10 армований,1,шт,"2969,00",,,,Перегородка на вулик 8,"78,00"
,ДНО в комплекті,1,шт,,,,,,
,корпус 300 з кутиками,2,шт,,,,,,
Комплектація 7,ДАХ 10,1,шт,"3369,00",,,,,
,ДНО в комплекті,1,шт,,,,,,
,корпус 300 з кутиками,2,шт,,,,,,
,годівниця,1,шт,,,,,,
Комплектація 8,ДАХ 10 армований,1,шт,"3519,00",,,,,
,ДНО в комплекті,1,шт,,,,,,
,корпус 300 з кутиками,2,шт,,,,,,
,годівниця,1,шт,,,,,,
Вулик 12-рамковий,,,,,,,,,
Комплектація 1,ДАХ 12,1,шт,"3230,00",,,,,
,ДНО в комплекті,1,шт,,,,,,
,корпус 300 з кутиками,1,шт,,,,,,
,корпус 145 з кутиками,2,шт,,,,,,
Комплектація 2,ДАХ 12 армований,1,шт,"3385,00",,,,,
,ДНО в комплекті,1,шт,,,,,,
,корпус 300 з кутиками,1,шт,,,,,,
,корпус 145 з кутиками,2,шт,,,,,,
Комплектація 3,ДАХ 12,1,шт,"3874,00",,,,,
,ДНО в комплекті,1,шт,,,,,,
,корпус 300 з кутиками,1,шт,,,,,,
,корпус 145 з кутиками,2,шт,,,,,,
,годівниця,1,шт,,,,,,
Комплектація 4,ДАХ 12 армований,1,шт,"4029,00",,,,,
,ДНО в комплекті,1,шт,,,,,,
,корпус 300 з кутиками,1,шт,,,,,,
,корпус 145 з кутиками,2,шт,,,,,,
,годівниця,1,шт,,,,,,
Комплектація 5,ДАХ 12,1,шт,"3214,00",,,,,
,ДНО в комплекті,1,шт,,,,,,
,корпус 300 з кутиками,2,шт,,,,,,
Комплектація 6,ДАХ 12 армований,1,шт,"3369,00",,,,,
,ДНО в комплекті,1,шт,,,,,,
,корпус 300 з кутиками,2,шт,,,,,,
Комплектація 7,ДАХ 12,1,шт,"3858,00",,,,,
,ДНО в комплекті,1,шт,,,,,,
,корпус 300 з кутиками,2,шт,,,,,,
